Time [s],Packet ID,MOSI,MISO
0.000000625000000,0,0x30,0xFF
0.000278250000000,1,0x0D,0xFF
0.000280750000000,1,0x21,0xFF
0.000295000000000,2,0x0E,0xFF
0.000297500000000,2,0x65,0xFF
0.000311750000000,3,0x0F,0xFF
0.000314250000000,3,0x6A,0xFF
0.000328500000000,4,0x10,0xFF
0.000331000000000,4,0x07,0xFF
0.000345125000000,5,0x11,0xFF
0.000347750000000,5,0x43,0xFF
0.000367125000000,6,0x12,0xFF
0.000369625000000,6,0x00,0xFF
0.000383875000000,7,0x13,0xFF
0.000386375000000,7,0x22,0xFF
0.000400625000000,8,0x14,0xFF
0.000403125000000,8,0xF8,0xFF
0.000417375000000,9,0x0A,0xFF
0.000419875000000,9,0x00,0xFF
0.000434000000000,10,0x15,0xFF
0.000436625000000,10,0x40,0xFF
0.000456625000000,11,0x22,0xFF
0.000459125000000,11,0x17,0xFF
0.000473375000000,12,0x18,0xFF
0.000475875000000,12,0x18,0xFF
0.000490125000000,13,0x23,0xFF
0.000492625000000,13,0xA9,0xFF
0.000506875000000,14,0x24,0xFF
0.000509375000000,14,0x2A,0xFF
0.000534875000000,15,0x25,0xFF
0.000537375000000,15,0x00,0xFF
0.000551625000000,16,0x26,0xFF
0.000554125000000,16,0x11,0xFF
0.000568375000000,17,0x29,0xFF
0.000570875000000,17,0x59,0xFF
0.000585125000000,18,0x2C,0xFF
0.000587625000000,18,0x81,0xFF
0.000601875000000,19,0x2D,0xFF
0.000604375000000,19,0x35,0xFF
0.000623750000000,20,0x2E,0xFF
0.000626250000000,20,0x0B,0xFF
0.000640500000000,21,0x08,0xFF
0.000643000000000,21,0x12,0xFF
0.000657250000000,22,0x09,0xFF
0.000659750000000,22,0x00,0xFF
0.000674000000000,23,0x06,0xFF
0.000676500000000,23,0xFF,0xFF
0.000691250000000,24,0x3E,0xFF
0.000694750000000,24,0x6F,0xFF
0.000702750000000,24,0x17,0xFF
0.000707875000000,24,0x46,0xFF
0.000711250000000,24,0x43,0xFF
0.000714625000000,24,0xE6,0xFF
0.000718000000000,24,0xE3,0xFF
0.000721375000000,24,0xE0,0xFF
0.000737875000000,25,0x36,0xFF
0.000752125000000,26,0x36,0xFF
0.000766375000000,27,0x36,0xFF
0.000781250000000,28,0x10,0xFF
0.000787000000000,28,0x08,0xFF
0.000801125000000,29,0x11,0xFF
0.000803625000000,29,0x43,0xFF
0.000817875000000,30,0x15,0xFF
0.000820375000000,30,0x40,0xFF
0.000834625000000,31,0x02,0xFF
0.000837125000000,31,0x2D,0xFF
0.000851375000000,32,0x01,0xFF
0.000853875000000,32,0x0B,0xFF
0.000873250000000,,0x35,0xFF
